YYYY,FIPS_Combined,DrugReports
2012,21071,8
2013,21071,4
2014,21071,4
2015,21071,2
2017,21071,1
2010,21073,15
2011,21073,3
2012,21073,3
2013,21073,58
2014,21073,95
2015,21073,62
2016,21073,97
2017,21073,54
2016,21075,1
2017,21075,7
2012,21077,6
2013,21077,23
2014,21077,24
2015,21077,5
2016,21077,3
2017,21077,2
2013,21079,1
2014,21079,4
2015,21079,2
2016,21079,13
2017,21079,11
2010,21081,3
2011,21081,4
2012,21081,18
2013,21081,23
2014,21081,56
2015,21081,50
2016,21081,45
2017,21081,26
2012,21083,2
2013,21083,1
2014,21083,8
2016,21083,1
2017,21083,2
2012,21085,2
2013,21085,1
2014,21085,1
2015,21085,10
2016,21085,4
2017,21085,3
2013,21087,3
2014,21087,1
2017,21087,1
2010,21089,2
2011,21089,1
2012,21089,10
2013,21089,17
2014,21089,7
2015,21089,19
2016,21089,21
2017,21089,4
2016,21091,3
2011,21093,2
2012,21093,4
2013,21093,26
2014,21093,33
2015,21093,29
2016,21093,32
2017,21093,30
2012,21095,1
2013,21095,1
2014,21095,3
2015,21095,1
2016,21095,1
2017,21095,3
2011,21097,1
2012,21097,8
2013,21097,32
2014,21097,71
2015,21097,96
2016,21097,77
2017,21097,18
2011,21099,1
2014,21099,1
2015,21099,1
2016,21099,4
2017,21099,2
2011,21101,1
2012,21101,3
2013,21101,5
2014,21101,2
2015,21101,15
2016,21101,26
2017,21101,5
2012,21103,2
2013,21103,9
2014,21103,16
2015,21103,23
2016,21103,13
2017,21103,5
2015,21105,1
2010,21107,1
2011,21107,2
2015,21107,1
2016,21107,3
2017,21107,3
2013,21109,1
2014,21109,1
2016,21109,2
2017,21109,2
2010,21111,154
2011,21111,238
2012,21111,758
2013,21111,1130
2014,21111,1358
2015,21111,1233
2016,21111,1000
2017,21111,1031
2012,21113,11
2013,21113,72
2014,21113,99
2015,21113,64
2016,21113,58
2017,21113,56
2014,21115,1
2015,21115,2
2017,21115,3
2010,21117,216
2011,21117,242
2012,21117,357
2013,21117,552
2014,21117,530
2015,21117,416
2016,21117,364
2017,21117,349
2016,21119,1
2017,21119,1
2011,21121,1
2012,21121,2
2013,21121,1
2015,21121,3
2017,21121,2
2012,21123,1
2016,21123,2
2011,21125,2
2012,21125,5
2013,21125,1
2014,21125,4
2015,21125,7
2016,21125,5
2017,21125,14
2013,21127,6
2014,21127,7
2015,21127,3
2016,21127,4
2017,21127,2
2012,21129,2
2013,21129,4
2016,21129,1
2017,21129,2
2013,21133,1
2016,21133,2
2017,21133,1
2012,21135,3
2013,21135,3
2014,21135,2
2015,21135,3
2016,21135,8
2017,21135,9
2011,21137,2
2012,21137,4
2013,21137,2
2014,21137,5
2015,21137,7
2016,21137,6
2017,21137,5
2014,21139,2
2015,21141,1
2016,21141,3
2017,21141,2
2010,21143,2
2013,21143,1
2015,21143,3
2017,21143,1
2011,21145,5
2012,21145,19
2013,21145,16
2014,21145,11
2015,21145,1
2016,21145,11
2017,21145,12
2010,21147,2
2011,21147,1
2012,21147,13
2013,21147,2
2016,21147,2
2010,21151,2
2011,21151,3
2012,21151,9
2013,21151,116
2014,21151,137
2015,21151,176
2016,21151,189
2017,21151,169
2010,21153,1
2014,21153,1
2015,21153,2
2017,21153,2
2010,21155,1
2011,21155,1
2013,21155,3
2014,21155,15
2015,21155,6
2016,21155,14
2017,21155,12
2013,21157,1
2014,21157,10
2015,21157,2
2016,21157,2
2017,21157,1
2010,21159,4
2011,21159,2
2012,21159,10
2013,21159,4
2015,21159,1
2017,21159,11
2010,21161,18
2011,21161,11
2012,21161,37
2013,21161,61
2014,21161,18
2015,21161,20
2016,21161,28
2017,21161,10
2012,21163,4
2013,21163,16
2014,21163,4
2015,21163,8
2016,21163,1
2017,21163,6
2012,21167,3
2013,21167,8
2014,21167,40
2015,21167,7
2016,21167,25
2017,21167,17
2017,21171,3
2011,21173,12
2012,21173,2
2013,21173,39
2014,21173,51
2015,21173,29
2016,21173,49
2017,21173,44
2015,21175,2
2016,21175,2
2017,21175,4
2011,21177,3
2013,21177,2
2014,21177,3
2015,21177,1
2016,21177,1
2012,21179,11
2013,21179,10
2014,21179,21
2015,21179,20
2016,21179,29
2017,21179,50
2013,21181,1
2014,21181,5
2015,21181,3
2016,21181,4
2017,21181,2
2013,21183,3
2014,21183,1
2016,21183,2
2010,21185,3
2011,21185,9
2012,21185,16
2013,21185,17
2014,21185,15
2015,21185,22
2016,21185,9
2017,21185,14
2010,21187,1
2011,21187,2
2012,21187,2
2013,21187,9
2014,21187,13
2015,21187,9
2016,21187,12
2017,21187,10
2010,21191,1
2011,21191,19
2012,21191,36
2013,21191,75
2014,21191,47
2015,21191,29
2016,21191,9
2017,21191,13
2010,21193,1
2012,21193,1
2014,21193,1
2016,21193,2
2017,21193,2
2013,21195,39
2014,21195,7
2015,21195,16
2016,21195,2
2017,21195,4
2013,21197,11
2014,21197,6
2015,21197,1
2016,21197,10
2017,21197,11
2011,21199,3
2012,21199,19
2013,21199,6
2014,21199,9
2015,21199,62
2016,21199,40
2017,21199,21
2014,21201,2
2010,21203,1
2011,21203,1
2014,21203,23
2015,21203,7
2016,21203,9
2017,21203,5
2011,21205,1
2012,21205,13
2013,21205,22
2014,21205,27
2015,21205,36
2016,21205,50
2017,21205,13
2014,21207,2
2015,21207,2
2010,21209,4
2012,21209,22
2013,21209,41
2014,21209,47
2015,21209,9
2016,21209,57
2017,21209,36
2012,21211,3
2013,21211,23
2014,21211,50
2015,21211,57
2016,21211,33
2017,21211,32
2014,21213,2
2015,21213,1
2017,21213,2
2012,21215,2
2013,21215,3
2014,21215,9
2015,21215,4
2016,21215,10
2017,21215,1
2012,21217,6
2013,21217,16
2014,21217,21
2015,21217,11
2016,21217,33
2017,21217,15
2015,21219,1
2013,21221,2
2017,21221,1
2012,21223,1
2013,21223,8
2014,21223,2
2015,21223,6
2016,21223,2
2017,21223,2
2015,21225,2
2016,21225,1
2010,21227,4
2012,21227,1
2013,21227,10
2014,21227,6
2015,21227,3
2016,21227,11
2017,21227,1
2016,21229,2
2017,21229,5
2011,21231,2
2012,21231,2
2013,21231,3
2014,21231,4
2015,21231,4
2016,21231,5
2017,21231,8
2010,21233,2
2014,21233,1
2017,21233,1
2010,21235,3
2011,21235,1
2013,21235,3
2014,21235,3
2015,21235,1
2016,21235,2
2017,21235,1
2014,21237,1
2015,21237,1
2011,21239,1
2012,21239,6
2013,21239,8
2014,21239,10
2015,21239,23
2016,21239,11
2017,21239,6
2010,39001,50
2011,39001,60
2012,39001,115
2013,39001,61
2014,39001,93
2015,39001,95
2016,39001,111
2017,39001,41
2010,39003,43
2011,39003,63
2012,39003,78
2013,39003,168
2014,39003,182
2015,39003,219
2016,39003,117
2017,39003,56
2010,39005,82
2011,39005,56
2012,39005,76
2013,39005,112
2014,39005,106
2015,39005,215
2016,39005,184
2017,39005,122
2010,39007,26
2011,39007,50
2012,39007,158
2013,39007,182
2014,39007,258
2015,39007,306
2016,39007,245
2017,39007,126
2010,39009,72
2011,39009,91
2012,39009,108
2013,39009,108
2014,39009,138
2015,39009,106
2016,39009,89
2017,39009,96
2010,39011,35
2011,39011,22
2012,39011,62
2013,39011,27
2014,39011,23
2015,39011,57
2016,39011,18
2017,39011,9
2011,39013,8
2012,39013,26
2013,39013,55
2014,39013,81
2015,39013,108
2016,39013,80
2017,39013,71
2010,39015,14
2011,39015,29
2012,39015,26
2013,39015,73
2014,39015,70
2015,39015,122
2016,39015,73
2017,39015,37
2010,39017,223
2011,39017,235
2012,39017,495
2013,39017,684
2014,39017,755
2015,39017,708
2016,39017,538
2017,39017,381
2011,39019,4
2012,39019,8
2013,39019,3
2014,39019,4
2016,39019,6
2017,39019,2
2010,39021,37
2011,39021,37
2012,39021,29
2013,39021,57
2014,39021,55
2015,39021,95
2016,39021,64
2017,39021,16
2010,39023,26
2011,39023,7
2012,39023,5
2013,39023,38
2014,39023,29
2015,39023,119
2016,39023,173
2017,39023,84
2010,39025,167
2011,39025,271
2012,39025,255
2013,39025,236
2014,39025,338
2015,39025,292
2016,39025,274
2017,39025,232
2010,39027,68
2011,39027,65
2012,39027,87
2013,39027,60
2014,39027,101
2015,39027,103
2016,39027,70
2017,39027,57
2010,39029,34
2011,39029,51
2012,39029,68
2013,39029,141
2014,39029,194
2015,39029,203
2016,39029,238
2017,39029,98
2011,39031,11
2012,39031,26
2013,39031,33
2014,39031,25
2015,39031,21
2016,39031,12
2017,39031,54
2010,39033,48
2011,39033,20
2012,39033,62
2013,39033,85
2014,39033,112
2015,39033,117
2016,39033,77
2017,39033,25
2010,39035,462
2011,39035,537
2012,39035,1877
2013,39035,2277
2014,39035,2703
2015,39035,2771
2016,39035,2735
2017,39035,2528
2010,39037,20
2011,39037,31
2012,39037,21
2013,39037,62
2014,39037,109
2015,39037,110
2016,39037,32
2017,39037,16
2010,39039,24
2011,39039,23
2012,39039,12
2013,39039,44
2014,39039,132
2015,39039,164
2016,39039,123
2017,39039,56
2010,39041,1123
2011,39041,550
2012,39041,124
2013,39041,167
2014,39041,170
2015,39041,216
2016,39041,158
2017,39041,78
2010,39043,30
2011,39043,78
2012,39043,107
2013,39043,167
2014,39043,292
2015,39043,278
2016,39043,199
2017,39043,152
2010,39045,186
2011,39045,149
2012,39045,209
2013,39045,264
2014,39045,148
2015,39045,277
2016,39045,195
2017,39045,131
2010,39047,8
2011,39047,24
2012,39047,29
2013,39047,44
2014,39047,105
2015,39047,84
2016,39047,76
2017,39047,52
2010,39049,327
2011,39049,697
2012,39049,777
2013,39049,1190
2014,39049,1525
2015,39049,1685
2016,39049,1688
2017,39049,1300
2010,39051,5
2011,39051,18
2012,39051,17
2013,39051,25
2014,39051,27
2015,39051,14
2016,39051,11
2017,39051,26
2010,39053,8
2011,39053,5
2012,39053,16
2013,39053,57
2014,39053,120
2015,39053,171
2016,39053,137
2017,39053,132
2010,39055,6
2011,39055,9
2012,39055,12
2013,39055,52
2014,39055,72
2015,39055,83
2016,39055,56
2017,39055,17
2010,39057,88
2011,39057,96
2012,39057,136
2013,39057,175
2014,39057,235
2015,39057,292
2016,39057,153
2017,39057,71
2010,39059,14
2011,39059,7
2012,39059,11
2013,39059,42
2014,39059,80
2015,39059,158
2016,39059,126
2017,39059,59
2010,39061,1917
2011,39061,2248
2012,39061,3291
2013,39061,3458
2014,39061,3686
2015,39061,4167
2016,39061,4525
2017,39061,3970
2010,39063,32
2011,39063,34
2012,39063,58
2013,39063,86
2014,39063,136
2015,39063,200
2016,39063,133
2017,39063,91
2010,39065,113
2011,39065,107
2012,39065,129
2013,39065,86
2014,39065,77
2015,39065,87
2016,39065,65
2017,39065,52
2013,39067,2
2014,39067,3
2015,39067,11
2016,39067,4
2017,39067,9
2010,39069,3
2011,39069,8
2012,39069,6
2013,39069,1
2014,39069,9
2015,39069,11
2016,39069,4
2010,39071,92
2011,39071,120
2012,39071,58
2013,39071,84
2014,39071,115
2015,39071,154
2016,39071,105
2017,39071,23
2010,39073,13
2011,39073,15
2012,39073,23
2013,39073,25
2014,39073,15
2015,39073,20
2016,39073,33
2017,39073,24
2010,39075,5
2011,39075,1
2012,39075,1
2013,39075,4
2014,39075,6
2015,39075,8
2016,39075,3
2017,39075,3
2010,39077,38
2011,39077,83
2012,39077,106
2013,39077,119
2014,39077,132
2015,39077,161
2016,39077,91
2017,39077,76
2010,39079,35
2011,39079,50
2012,39079,59
2013,39079,74
2014,39079,34
2015,39079,69
2016,39079,111
2017,39079,64
2010,39081,13
2011,39081,27
2012,39081,59
2013,39081,85
2014,39081,98
2015,39081,100
2016,39081,102
2017,39081,64
2010,39083,1
2011,39083,7
2012,39083,34
2013,39083,49
2014,39083,24
2015,39083,31
2016,39083,42
2017,39083,28
2010,39085,193
2011,39085,397
2012,39085,489
2013,39085,811
2014,39085,721
2015,39085,1065
2016,39085,942
2017,39085,568
2010,39087,4
2011,39087,2
2012,39087,2
2013,39087,29
2014,39087,26
2015,39087,96
2016,39087,66
2017,39087,46
2010,39089,175
2011,39089,484
2012,39089,279
2013,39089,196
2014,39089,111
2015,39089,167
2016,39089,136
2017,39089,113
2010,39091,38
2011,39091,38
2012,39091,64
2013,39091,73
2014,39091,79
2015,39091,61
2016,39091,66
2017,39091,29
2010,39093,14
2011,39093,21
2012,39093,11
2013,39093,31
2014,39093,42
2015,39093,476
2016,39093,467
2017,39093,353
2010,39095,333
2011,39095,301
2012,39095,424
2013,39095,462
2014,39095,303
2015,39095,518
2016,39095,430
2017,39095,372
2010,39097,41
2011,39097,70
2012,39097,65
2013,39097,76
2014,39097,150
2015,39097,94
2016,39097,116
2017,39097,31
2010,39099,358
2011,39099,373
2012,39099,336
2013,39099,388
2014,39099,508
2015,39099,577
2016,39099,454
2017,39099,211
2010,39101,61
2011,39101,61
2012,39101,83
2013,39101,178
2014,39101,214
2015,39101,287
2016,39101,208
2017,39101,91
2010,39103,92
2011,39103,90
2012,39103,100
2013,39103,134
2014,39103,183
2015,39103,177
2016,39103,129
2017,39103,91
2010,39105,3
2011,39105,13
2012,39105,23
2013,39105,35
2014,39105,12
2015,39105,14
2016,39105,20
2017,39105,6
2010,39107,28
2011,39107,94
2012,39107,67
2013,39107,104
2014,39107,67
2015,39107,62
2016,39107,19
2017,39107,13
2010,39109,56
2011,39109,72
2012,39109,76
2013,39109,111
2014,39109,118
2015,39109,141
2016,39109,60
2017,39109,47
2011,39111,6
2012,39111,5
2013,39111,9
2014,39111,32
2015,39111,17
2016,39111,8
2017,39111,6
2010,39113,1265
2011,39113,1593
2012,39113,1969
2013,39113,2462
2014,39113,2300
2015,39113,2221
2016,39113,1504
2017,39113,651
2010,39115,10
2011,39115,6
2012,39115,4
2015,39115,1
2016,39115,6
2017,39115,3
2010,39117,13
2011,39117,13
2012,39117,20
2013,39117,23
2014,39117,37
2015,39117,33
2016,39117,25
2017,39117,26
2010,39119,1
2011,39119,6
2012,39119,8
2013,39119,27
2014,39119,73
2015,39119,48
2016,39119,45
2017,39119,55
2013,39121,4
2014,39121,15
2015,39121,16
2016,39121,5
2017,39121,5
2010,39123,4
2011,39123,19
2012,39123,12
2013,39123,26
2014,39123,27
2015,39123,23
2016,39123,50
2017,39123,21
2010,39125,6
2011,39125,7
2012,39125,1
2013,39125,3
2014,39125,4
2015,39125,15
2016,39125,9
2017,39125,3
2010,39127,66
2011,39127,23
2012,39127,19
2013,39127,14
2014,39127,21
2015,39127,46
2016,39127,27
2017,39127,11
2010,39129,42
2011,39129,45
2012,39129,104
2013,39129,151
2014,39129,150
2015,39129,83
2016,39129,38
2017,39129,52
2010,39131,6
2011,39131,10
2012,39131,12
2013,39131,42
2014,39131,41
2015,39131,56
2016,39131,55
2017,39131,17
2010,39133,94
2011,39133,52
2012,39133,109
2013,39133,185
2014,39133,233
2015,39133,223
2016,39133,160
2017,39133,79
2010,39135,13
2011,39135,11
2012,39135,19
2013,39135,45
2014,39135,22
2015,39135,21
2016,39135,46
2017,39135,26
2010,39137,4
2015,39137,5
2016,39137,7
2010,39139,101
2011,39139,96
2012,39139,104
2013,39139,137
2014,39139,206
2015,39139,225
2016,39139,178
2017,39139,123
2010,39141,44
2011,39141,88
2012,39141,65
2013,39141,125
2014,39141,142
2015,39141,138
2016,39141,115
2017,39141,67
2010,39143,7
2011,39143,3
2012,39143,17
2013,39143,50
2014,39143,60
2015,39143,67
2016,39143,133
2017,39143,50
2010,39145,17
2011,39145,40
2012,39145,197
2013,39145,248
2014,39145,158
2015,39145,207
2016,39145,202
2017,39145,119
2010,39147,24
2011,39147,23
2012,39147,19
2013,39147,78
2014,39147,110
2015,39147,122
2016,39147,86
2017,39147,35
2010,39149,38
2011,39149,48
2012,39149,80
2013,39149,170
2014,39149,125
2015,39149,142
2016,39149,86
2017,39149,36
2010,39151,78
2011,39151,141
2012,39151,25
2013,39151,17
2014,39151,398
2015,39151,385
2016,39151,504
2017,39151,256
2010,39153,112
2011,39153,115
2012,39153,148
2013,39153,219
2014,39153,251
2015,39153,260
2016,39153,266
2017,39153,272
2010,39155,122
2011,39155,182
2012,39155,255
2013,39155,249
2014,39155,340
2015,39155,396
2016,39155,327
2017,39155,237
2010,39157,9
2011,39157,19
2012,39157,22
2013,39157,34
2014,39157,25
2015,39157,32
2016,39157,35
2017,39157,29
2010,39159,33
2011,39159,67
2012,39159,80
2013,39159,32
2014,39159,14
2015,39159,26
2016,39159,43
2017,39159,46
2010,39161,48
2011,39161,33
2012,39161,52
2013,39161,25
2014,39161,40
2015,39161,41
2016,39161,18
2017,39161,16
2010,39163,5
2011,39163,3
2012,39163,11
2013,39163,5
2014,39163,3
2015,39163,24
2016,39163,6
2017,39163,5
2010,39165,133
2011,39165,187
2012,39165,222
2013,39165,269
2014,39165,227
2015,39165,220
2016,39165,174
2017,39165,91
2010,39167,34
2011,39167,36
2012,39167,56
2013,39167,91
2014,39167,68
2015,39167,85
2016,39167,99
2017,39167,73
2010,39169,43
2011,39169,52
2012,39169,45
2013,39169,101
2014,39169,138
2015,39169,127
2016,39169,109
2017,39169,81
2010,39171,1
2013,39171,4
2014,39171,4
2015,39171,4
2016,39171,11
2010,39173,42
2011,39173,59
2012,39173,77
2013,39173,91
2014,39173,133
2015,39173,66
2016,39173,96
2017,39173,43
2010,39175,2
2011,39175,1
2012,39175,1
2013,39175,14
2014,39175,42
2015,39175,29
2016,39175,15
2017,39175,11
2010,42001,14
2011,42001,20
2012,42001,12
2013,42001,20
2014,42001,29
2015,42001,54
2016,42001,42
2017,42001,43
2010,42003,2592
2011,42003,2298
2012,42003,2739
2013,42003,3279
2014,42003,3774
2015,42003,3674
2016,42003,3400
2017,42003,1894
2010,42005,96
2011,42005,86
2012,42005,65
2013,42005,57
2014,42005,151
2015,42005,113
2016,42005,119
2017,42005,34
2010,42007,87
2011,42007,104
2012,42007,86
2013,42007,161
2014,42007,128
2015,42007,171
2016,42007,208
2017,42007,108
2010,42009,34
2011,42009,28
2012,42009,27
2013,42009,18
2014,42009,14
2015,42009,22
2016,42009,23
2017,42009,8
2010,42011,172
2011,42011,243
2012,42011,357
2013,42011,415
2014,42011,392
2015,42011,424
2016,42011,464
2017,42011,292
2010,42013,103
2011,42013,50
2012,42013,137
2013,42013,159
2014,42013,310
2015,42013,209
2016,42013,152
2017,42013,119
2010,42015,33
2011,42015,18
2012,42015,27
2013,42015,26
2014,42015,53
2015,42015,54
2016,42015,61
2017,42015,7
2010,42017,618
2011,42017,821
2012,42017,674
2013,42017,119
2014,42017,1640
2015,42017,542
2016,42017,76
2017,42017,63
2010,42019,49
2011,42019,80
2012,42019,70
2013,42019,115
2014,42019,158
2015,42019,155
2016,42019,140
2017,42019,107
2010,42021,57
2011,42021,74
2012,42021,110
2013,42021,287
2014,42021,356
2015,42021,367
2016,42021,345
2017,42021,84
2010,42023,1
2010,42025,20
2011,42025,33
2012,42025,34
2013,42025,51
2014,42025,72
2015,42025,74
2016,42025,37
2017,42025,39
2010,42027,23
2011,42027,12
2012,42027,56
2013,42027,48
2014,42027,41
2015,42027,50
2016,42027,32
2017,42027,33
2010,42029,95
2011,42029,126
2012,42029,155
2013,42029,239
2014,42029,289
2015,42029,324
2016,42029,269
2017,42029,276
2010,42031,35
2011,42031,33
2012,42031,14
2013,42031,32
2014,42031,19
2015,42031,13
2016,42031,11
2017,42031,12
2010,42033,29
2011,42033,11
2012,42033,8
2013,42033,29
2014,42033,18
2015,42033,31
2016,42033,21
2017,42033,13
2010,42035,8
2011,42035,2
2012,42035,6
2013,42035,24
2014,42035,45
2015,42035,26
2016,42035,11
2017,42035,2
2010,42037,29
2011,42037,51
2012,42037,60
2013,42037,37
2014,42037,102
2015,42037,51
2016,42037,56
2017,42037,14
2010,42039,6
2011,42039,8
2012,42039,7
2013,42039,21
2014,42039,24
2015,42039,67
2016,42039,47
2017,42039,20
2010,42041,32
2011,42041,14
2012,42041,19
2013,42041,31
2014,42041,35
2015,42041,39
2016,42041,12
2017,42041,11
2010,42043,266
2011,42043,205
2012,42043,264
2013,42043,358
2014,42043,709
2015,42043,705
2016,42043,488
2017,42043,603
2010,42045,344
2011,42045,461
2012,42045,539
2013,42045,572
2014,42045,765
2015,42045,929
2016,42045,847
2017,42045,709
2010,42047,2
2011,42047,1
2014,42047,13
2015,42047,13
2016,42047,32
2017,42047,39
2010,42049,62
2011,42049,103
2012,42049,159
2013,42049,151
2014,42049,230
2015,42049,205
2016,42049,181
2017,42049,132
2010,42051,67
2011,42051,115
2012,42051,177
2013,42051,188
2014,42051,230
2015,42051,218
2016,42051,157
2017,42051,97
2010,42053,3
2011,42053,5
2014,42053,6
2016,42053,3
2017,42053,6
2010,42055,41
2011,42055,26
2012,42055,46
2013,42055,67
2014,42055,110
2015,42055,109
2016,42055,96
2017,42055,39
2010,42057,2
2011,42057,7
2012,42057,3
2013,42057,8
2014,42057,2
2015,42057,2
2016,42057,4
2017,42057,1
2010,42059,66
2011,42059,40
2012,42059,9
2013,42059,47
2014,42059,21
2015,42059,23
2016,42059,20
2017,42059,15
2010,42061,33
2011,42061,34
2012,42061,53
2013,42061,33
2014,42061,32
2015,42061,47
2016,42061,20
2017,42061,23
2010,42063,159
2011,42063,87
2012,42063,47
2013,42063,38
2014,42063,48
2015,42063,72
2016,42063,57
2017,42063,21
2010,42065,47
2011,42065,56
2012,42065,36
2013,42065,26
2014,42065,30
2015,42065,15
2016,42065,12
2017,42065,11
2010,42067,2
2011,42067,2
2012,42067,18
2013,42067,14
2014,42067,26
2015,42067,3
2016,42067,4
2017,42067,12
2010,42069,394
2011,42069,376
2012,42069,374
2013,42069,280
2014,42069,343
2015,42069,363
2016,42069,389
2017,42069,310
2010,42071,273
2011,42071,359
2012,42071,375
2013,42071,385
2014,42071,372
2015,42071,512
2016,42071,557
2017,42071,609
2010,42073,12
2011,42073,8
2012,42073,38
2013,42073,98
2014,42073,102
2015,42073,74
2016,42073,44
2017,42073,29
2010,42075,41
2011,42075,40
2012,42075,78
2013,42075,170
2014,42075,236
2015,42075,354
2016,42075,306
2017,42075,256
2010,42077,346
2011,42077,350
2012,42077,211
2013,42077,268
2014,42077,175
2015,42077,142
2016,42077,159
2017,42077,143
2010,42079,382
2011,42079,369
2012,42079,435
2013,42079,672
2014,42079,978
2015,42079,621
2016,42079,658
2017,42079,467
2010,42081,101
2011,42081,88
2012,42081,110
2013,42081,224
2014,42081,213
2015,42081,191
2016,42081,239
2017,42081,145
2010,42083,3
2011,42083,3
2012,42083,1
2013,42083,3
2015,42083,16
2016,42083,8
2017,42083,6
2010,42085,10
2011,42085,32
2012,42085,50
2013,42085,41
2014,42085,75
2015,42085,85
2016,42085,41
2017,42085,50
2010,42087,5
2011,42087,5
2012,42087,12
2013,42087,12
2014,42087,21
2015,42087,17
2016,42087,22
2017,42087,17
2010,42089,88
2011,42089,79
2012,42089,75
2013,42089,167
2014,42089,191
2015,42089,234
2016,42089,180
2017,42089,171
2010,42091,83
2011,42091,59
2012,42091,63
2013,42091,54
2014,42091,23
2015,42091,28
2016,42091,70
2017,42091,26
2010,42093,1
2011,42093,11
2012,42093,7
2013,42093,30
2014,42093,7
2015,42093,4
2016,42093,6
2017,42093,3
2010,42095,343
2011,42095,234
2012,42095,205
2013,42095,180
2014,42095,147
2015,42095,103
2016,42095,180
2017,42095,68
2010,42097,21
2011,42097,25
2012,42097,45
2013,42097,33
2014,42097,93
2015,42097,54
2016,42097,56
2017,42097,47
2010,42099,11
2011,42099,23
2012,42099,22
2013,42099,35
2014,42099,68
2015,42099,29
2016,42099,73
2017,42099,20
2010,42101,3910
2011,42101,3508
2012,42101,3659
2013,42101,3519
2014,42101,3297
2015,42101,4985
2016,42101,5075
2017,42101,4664
2010,42103,35
2011,42103,24
2012,42103,26
2013,42103,40
2014,42103,46
2015,42103,37
2016,42103,29
2017,42103,17
2011,42105,3
2012,42105,12
2013,42105,13
2014,42105,14
2015,42105,35
2016,42105,8
2017,42105,5
2010,42107,49
2011,42107,78
2012,42107,98
2013,42107,130
2014,42107,210
2015,42107,386
2016,42107,289
2017,42107,181
2010,42109,3
2011,42109,7
2012,42109,14
2013,42109,26
2014,42109,8
2015,42109,6
2016,42109,27
2017,42109,33
2010,42111,34
2011,42111,46
2012,42111,19
2013,42111,69
2014,42111,86
2015,42111,56
2016,42111,66
2017,42111,37
2011,42113,2
2012,42113,2
2014,42113,4
2010,42115,10
2011,42115,11
2012,42115,32
2013,42115,14
2014,42115,37
2015,42115,33
2016,42115,26
2017,42115,84
2010,42117,3
2011,42117,4
2012,42117,5
2013,42117,28
2014,42117,6
2015,42117,19
2016,42117,5
2017,42117,7
2011,42119,5
2012,42119,6
2013,42119,6
2014,42119,3
2015,42119,7
2016,42119,5
2017,42119,9
2010,42121,15
2011,42121,17
2012,42121,35
2013,42121,39
2014,42121,34
2015,42121,59
2016,42121,39
2017,42121,26
2010,42123,11
2011,42123,7
2012,42123,1
2013,42123,4
2014,42123,18
2015,42123,5
2016,42123,1
2017,42123,2
2010,42125,132
2011,42125,89
2012,42125,161
2013,42125,281
2014,42125,398
2015,42125,382
2016,42125,372
2017,42125,152
2010,42127,15
2011,42127,21
2012,42127,29
