,xgb_fea_importance,lgbm_fea_importance,feature_name
HC02_VC54,0.0011912928,40,"Estimate Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old"
HC01_VC55,0.0040070754,21,"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 15 to 19 years old"
HC02_VC55,0.0012454424,6,"Estimate Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 15 to 19 years old"
HC01_VC56,0.0040070754,20,"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 20 to 34 years old"
HC02_VC56,0.0034836289,72,"Estimate Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 20 to 34 years old"
HC01_VC57,0.0036280279,68,"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 35 to 50 years old"
HC02_VC57,0.0015703405,23,"Estimate Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 35 to 50 years old"
HC01_VC62,0.0010649435,9,Estimate; GRANDPARENTS - Responsible for grandchildren
HC02_VC62,0.0028518827,86,Estimate Margin of Error; GRANDPARENTS - Responsible for grandchildren
HC03_VC62,0.0010649435,18,Percent; GRANDPARENTS - Responsible for grandchildren
HC04_VC62,0.00030684812,1,Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren
HC01_VC65,0.0020937873,29,Estimate; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 1 or 2 years
HC02_VC65,0.0041334247,70,Estimate Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 1 or 2 years
HC03_VC65,0.006913108,104,Percent; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 1 or 2 years
HC04_VC65,0.0029782318,27,Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 1 or 2 years
HC01_VC66,0.0036821775,61,Estimate; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 3 or 4 years
HC02_VC66,0.004223674,87,Estimate Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 3 or 4 years
HC03_VC66,0.008393199,160,Percent; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 3 or 4 years
HC04_VC66,0.0045124725,74,Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 3 or 4 years
HC01_VC67,0.003772427,67,Estimate; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 5 or more years
HC02_VC67,0.0036280279,77,Estimate Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 5 or more years
HC03_VC67,0.0040431754,32,Percent; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 5 or more years
HC04_VC67,0.0031767807,20,Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 5 or more years
HC01_VC70,0.0033392296,40,Estimate; GRANDPARENTS - Who are female
HC02_VC70,0.003122631,9,Estimate Margin of Error; GRANDPARENTS - Who are female
HC03_VC70,0.0027074835,82,Percent; GRANDPARENTS - Who are female
HC04_VC70,0.00046929714,0,Percent Margin of Error; GRANDPARENTS - Who are female
HC01_VC71,0.003772427,96,Estimate; GRANDPARENTS - Who are married
HC02_VC71,0.003429479,61,Estimate Margin of Error; GRANDPARENTS - Who are married
HC03_VC71,0.004277824,48,Percent; GRANDPARENTS - Who are married
HC04_VC71,0.0028518827,55,Percent Margin of Error; GRANDPARENTS - Who are married
HC01_VC76,0.00043319736,9,"Estimate; SCHOOL ENROLLMENT - Nursery school, preschool"
HC02_VC76,0.0013176419,7,"Estimate Margin of Error; SCHOOL ENROLLMENT - Nursery school, preschool"
HC03_VC76,0.0007400455,5,"Percent; SCHOOL ENROLLMENT - Nursery school, preschool"
HC04_VC76,0.00019854879,0,"Percent Margin of Error; SCHOOL ENROLLMENT - Nursery school, preschool"
HC01_VC77,0.00079419516,9,Estimate; SCHOOL ENROLLMENT - Kindergarten
HC02_VC77,0.0025811342,39,Estimate Margin of Error; SCHOOL ENROLLMENT - Kindergarten
HC03_VC77,0.0037904768,96,Percent; SCHOOL ENROLLMENT - Kindergarten
HC04_VC77,0.0011190932,58,Percent Margin of Error; SCHOOL ENROLLMENT - Kindergarten
HC01_VC78,0.00045124724,2,Estimate; SCHOOL ENROLLMENT - Elementary school (grades 1-8)
HC02_VC78,0.0017508393,9,Estimate Margin of Error; SCHOOL ENROLLMENT - Elementary school (grades 1-8)
HC03_VC78,0.0030504314,26,Percent; SCHOOL ENROLLMENT - Elementary school (grades 1-8)
HC04_VC78,0.0008844446,10,Percent Margin of Error; SCHOOL ENROLLMENT - Elementary school (grades 1-8)
HC01_VC79,0.0005234468,24,Estimate; SCHOOL ENROLLMENT - High school (grades 9-12)
HC02_VC79,0.002454785,28,Estimate Margin of Error; SCHOOL ENROLLMENT - High school (grades 9-12)
HC03_VC79,0.0048554204,53,Percent; SCHOOL ENROLLMENT - High school (grades 9-12)
HC04_VC79,0.0009566442,9,Percent Margin of Error; SCHOOL ENROLLMENT - High school (grades 9-12)
HC01_VC80,0.0003609978,4,Estimate; SCHOOL ENROLLMENT - College or graduate school
HC02_VC80,0.0012454424,16,Estimate Margin of Error; SCHOOL ENROLLMENT - College or graduate school
HC03_VC80,0.0033211797,76,Percent; SCHOOL ENROLLMENT - College or graduate school
HC04_VC80,0.0008663947,9,Percent Margin of Error; SCHOOL ENROLLMENT - College or graduate school
HC01_VC85,0.0005053969,3,Estimate; EDUCATIONAL ATTAINMENT - Less than 9th grade
HC02_VC85,0.003609978,41,Estimate Margin of Error; EDUCATIONAL ATTAINMENT - Less than 9th grade
HC03_VC85,0.00066784595,3,Percent; EDUCATIONAL ATTAINMENT - Less than 9th grade
HC04_VC85,0.00012634923,0,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Less than 9th grade
HC01_VC86,0.0035016786,89,"Estimate; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma"
HC02_VC86,0.0029782318,31,"Estimate Margin of Error; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma"
HC03_VC86,0.0033572796,68,"Percent; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma"
HC04_VC86,0.00046929714,9,"Percent Margin of Error; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma"
HC01_VC87,0.0009024945,8,Estimate; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
HC02_VC87,0.00164254,13,Estimate Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
HC03_VC87,0.0025450345,18,Percent; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
HC04_VC87,0.00061369623,4,Percent Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
HC01_VC88,0.0007400455,14,"Estimate; EDUCATIONAL ATTAINMENT - Some college, no degree"
HC02_VC88,0.0010468937,32,"Estimate Margin of Error; EDUCATIONAL ATTAINMENT - Some college, no degree"
HC03_VC88,0.0033753293,17,"Percent; EDUCATIONAL ATTAINMENT - Some college, no degree"
HC04_VC88,0.00027074834,1,"Percent Margin of Error; EDUCATIONAL ATTAINMENT - Some college, no degree"
HC01_VC89,0.00097469403,29,Estimate; EDUCATIONAL ATTAINMENT - Associate's degree
HC02_VC89,0.002328436,32,Estimate Margin of Error; EDUCATIONAL ATTAINMENT - Associate's degree
HC03_VC89,0.0035919282,38,Percent; EDUCATIONAL ATTAINMENT - Associate's degree
HC04_VC89,0.0001804989,0,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Associate's degree
HC01_VC90,0.00081224507,4,Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree
HC02_VC90,0.0019132884,9,Estimate Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree
HC03_VC90,0.004277824,68,Percent; EDUCATIONAL ATTAINMENT - Bachelor's degree
HC04_VC90,0.00081224507,19,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree
HC01_VC91,0.00063174614,13,Estimate; EDUCATIONAL ATTAINMENT - Graduate or professional degree
HC02_VC91,0.0013176419,7,Estimate Margin of Error; EDUCATIONAL ATTAINMENT - Graduate or professional degree
HC03_VC91,0.0017327894,14,Percent; EDUCATIONAL ATTAINMENT - Graduate or professional degree
HC04_VC91,0.0011010433,68,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Graduate or professional degree
HC01_VC119,0.00014439912,0,Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S.
HC02_VC119,0.0016605898,8,Estimate Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S.
HC03_VC119,0.00037904768,7,Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S.
HC04_VC119,0.00016244901,0,Percent Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S.
HC01_VC120,0.00016244901,8,Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Same county
HC02_VC120,0.0020757373,38,Estimate Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Same county
HC03_VC120,0.002328436,18,Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Same county
HC04_VC120,0.0010829933,14,Percent Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Same county
HC01_VC121,0.00063174614,22,Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county
HC02_VC121,0.0014981409,33,Estimate Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county
HC03_VC121,0.0019132884,19,Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county
HC04_VC121,0.00061369623,9,Percent Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county
HC01_VC122,0.0013898415,46,Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Same state
HC02_VC122,0.0021840367,80,Estimate Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Same state
HC03_VC122,0.0043319734,88,Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Same state
HC04_VC122,0.00079419516,12,Percent Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Same state
HC01_VC123,0.0010829933,27,Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Different state
HC02_VC123,0.0025269846,30,Estimate Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Different state
HC03_VC123,0.002147937,27,Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Different state
HC04_VC123,0.0011912928,27,Percent Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Different state
HC01_VC124,0.0009205444,39,Estimate; RESIDENCE 1 YEAR AGO - Abroad
HC02_VC124,0.0023645356,20,Estimate Margin of Error; RESIDENCE 1 YEAR AGO - Abroad
HC03_VC124,0.0016966896,16,Percent; RESIDENCE 1 YEAR AGO - Abroad
HC04_VC124,0.0003429479,18,Percent Margin of Error; RESIDENCE 1 YEAR AGO - Abroad
HC01_VC130,0.0001804989,0,Estimate; PLACE OF BIRTH - Native - Born in United States
HC02_VC130,0.0007219956,0,Estimate Margin of Error; PLACE OF BIRTH - Native - Born in United States
HC03_VC130,0.00032489802,0,Percent; PLACE OF BIRTH - Native - Born in United States
HC04_VC130,0.00019854879,0,Percent Margin of Error; PLACE OF BIRTH - Native - Born in United States
HC01_VC131,0.00030684812,5,Estimate; PLACE OF BIRTH - Native - Born in United States - State of residence
HC02_VC131,0.00164254,8,Estimate Margin of Error; PLACE OF BIRTH - Native - Born in United States - State of residence
HC03_VC131,0.0015161907,26,Percent; PLACE OF BIRTH - Native - Born in United States - State of residence
HC04_VC131,0.00046929714,12,Percent Margin of Error; PLACE OF BIRTH - Native - Born in United States - State of residence
HC01_VC132,0.00023464857,6,Estimate; PLACE OF BIRTH - Native - Born in United States - Different state
HC02_VC132,0.0009385943,0,Estimate Margin of Error; PLACE OF BIRTH - Native - Born in United States - Different state
HC03_VC132,0.0018952384,21,Percent; PLACE OF BIRTH - Native - Born in United States - Different state
HC04_VC132,0.00064979604,10,Percent Margin of Error; PLACE OF BIRTH - Native - Born in United States - Different state
HC01_VC133,0.0012995921,7,"Estimate; PLACE OF BIRTH - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
HC02_VC133,0.0014439912,12,"Estimate Margin of Error; PLACE OF BIRTH - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
HC03_VC133,0.0022201363,27,"Percent; PLACE OF BIRTH - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
HC04_VC133,0.00064979604,4,"Percent Margin of Error; PLACE OF BIRTH - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
HC01_VC134,0.00079419516,27,Estimate; PLACE OF BIRTH - Foreign born
HC02_VC134,0.0007219956,20,Estimate Margin of Error; PLACE OF BIRTH - Foreign born
HC03_VC134,0.0021840367,19,Percent; PLACE OF BIRTH - Foreign born
HC04_VC134,0.0005414967,3,Percent Margin of Error; PLACE OF BIRTH - Foreign born
HC01_VC140,0.00077614526,8,Estimate; U.S. CITIZENSHIP STATUS - Not a U.S. citizen
HC02_VC140,0.0014439912,23,Estimate Margin of Error; U.S. CITIZENSHIP STATUS - Not a U.S. citizen
HC03_VC140,0.0010288437,23,Percent; U.S. CITIZENSHIP STATUS - Not a U.S. citizen
HC04_VC140,0.00032489802,1,Percent Margin of Error; U.S. CITIZENSHIP STATUS - Not a U.S. citizen
HC01_VC146,0.00043319736,1,Estimate; YEAR OF ENTRY - Native
HC02_VC146,0.00077614526,17,Estimate Margin of Error; YEAR OF ENTRY - Native
HC03_VC146,9.024945e-05,0,Percent; YEAR OF ENTRY - Native
HC01_VC150,0.0014078914,8,Estimate; YEAR OF ENTRY - Foreign born
HC02_VC150,0.0024006353,10,Estimate Margin of Error; YEAR OF ENTRY - Foreign born
HC03_VC150,0.003952926,29,Percent; YEAR OF ENTRY - Foreign born
HC01_VC151,0.0032128803,46,Estimate; YEAR OF ENTRY - Entered 2000 or later
HC02_VC151,0.003140681,41,Estimate Margin of Error; YEAR OF ENTRY - Entered 2000 or later
HC03_VC151,0.0031767807,24,Percent; YEAR OF ENTRY - Entered 2000 or later
HC04_VC151,0.007075557,149,Percent Margin of Error; YEAR OF ENTRY - Entered 2000 or later
HC01_VC156,0.0008663947,25,"Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea"
HC02_VC156,0.0011912928,36,"Estimate Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea"
HC03_VC156,0.00490957,78,"Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea"
HC01_VC160,0.00028879824,0,Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC02_VC160,0.0013898415,19,Estimate Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC03_VC160,0.00021659868,1,Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC04_VC160,0.00014439912,1,Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC01_VC161,0.0015703405,30,Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC02_VC161,0.0025630845,61,Estimate Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC03_VC161,0.004783221,59,Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
