YYYY,FIPS_Combined,DrugReports
2010,21037,139
2011,21037,140
2012,21037,117
2013,21037,84
2014,21037,146
2015,21037,168
2016,21037,206
2017,21037,283
2010,21039,4
2012,21039,2
2014,21039,1
2015,21039,1
2010,21041,46
2011,21041,60
2012,21041,54
2013,21041,27
2014,21041,42
2015,21041,28
2016,21041,20
2017,21041,38
2010,21043,235
2011,21043,148
2012,21043,172
2013,21043,71
2014,21043,95
2015,21043,67
2016,21043,42
2017,21043,45
2010,21045,56
2011,21045,24
2012,21045,27
2013,21045,25
2014,21045,29
2015,21045,30
2016,21045,18
2017,21045,7
2010,21047,47
2011,21047,50
2012,21047,20
2013,21047,40
2014,21047,73
2015,21047,32
2016,21047,42
2017,21047,20
2010,21049,158
2011,21049,170
2012,21049,49
2013,21049,77
2014,21049,107
2015,21049,74
2016,21049,89
2017,21049,59
2010,21051,83
2011,21051,162
2012,21051,89
2013,21051,111
2014,21051,75
2015,21051,66
2016,21051,61
2017,21051,3
2010,21053,22
2011,21053,5
2012,21053,7
2013,21053,10
2014,21053,24
2015,21053,22
2016,21053,18
2017,21053,16
2010,21055,12
2011,21055,7
2012,21055,9
2013,21055,12
2014,21055,10
2015,21055,4
2016,21055,9
2010,21057,7
2011,21057,5
2012,21057,1
2013,21057,6
2014,21057,13
2015,21057,7
2016,21057,18
2017,21057,9
2010,21059,31
2011,21059,52
2012,21059,31
2013,21059,40
2014,21059,39
2015,21059,41
2016,21059,36
2017,21059,16
2010,21061,10
2011,21061,27
2012,21061,13
2013,21061,14
2014,21061,3
2015,21061,10
2016,21061,10
2017,21061,15
2010,21063,84
2011,21063,45
2012,21063,7
2013,21063,3
2014,21063,32
2015,21063,7
2016,21063,7
2017,21063,5
2010,21065,39
2011,21065,11
2012,21065,44
2013,21065,4
2014,21065,57
2015,21065,11
2016,21065,37
2017,21065,36
2010,21067,505
2011,21067,425
2012,21067,428
2013,21067,419
2014,21067,247
2015,21067,280
2016,21067,250
2017,21067,557
2010,21069,49
2011,21069,41
2012,21069,50
2013,21069,13
2014,21069,8
2015,21069,34
2016,21069,13
2017,21069,28
2010,21071,171
2011,21071,150
2012,21071,71
2013,21071,73
2014,21071,112
2015,21071,168
2016,21071,168
2017,21071,144
2010,21073,91
2011,21073,103
2012,21073,103
2013,21073,115
2014,21073,36
2015,21073,52
2016,21073,66
2017,21073,59
2010,21075,24
2011,21075,8
2012,21075,12
2013,21075,2
2014,21075,11
2015,21075,6
2016,21075,3
2017,21075,14
2010,21077,8
2011,21077,11
2012,21077,19
2013,21077,8
2014,21077,9
2015,21077,7
2016,21077,1
2017,21077,2
2010,21079,26
2011,21079,28
2012,21079,25
2013,21079,10
2014,21079,15
2015,21079,4
2016,21079,9
2017,21079,16
2010,21081,34
2011,21081,28
2012,21081,35
2013,21081,14
2014,21081,39
2015,21081,33
2016,21081,53
2017,21081,45
2010,21083,13
2011,21083,50
2012,21083,31
2013,21083,32
2014,21083,41
2015,21083,39
2016,21083,31
2017,21083,29
2010,21085,32
2011,21085,14
2012,21085,8
2013,21085,14
2014,21085,18
2015,21085,7
2016,21085,8
2017,21085,7
2010,21087,8
2011,21087,4
2012,21087,9
2013,21087,3
2014,21087,1
2015,21087,1
2016,21087,1
2017,21087,8
2010,21089,68
2011,21089,62
2012,21089,99
2013,21089,69
2014,21089,56
2015,21089,50
2016,21089,50
2017,21089,30
2014,21091,1
2017,21091,2
2010,21093,53
2011,21093,108
2012,21093,98
2013,21093,42
2014,21093,62
2015,21093,39
2016,21093,32
2017,21093,44
2010,21095,280
2011,21095,299
2012,21095,465
2013,21095,221
2014,21095,258
2015,21095,187
2016,21095,163
2017,21095,88
2010,21097,52
2011,21097,19
2012,21097,46
2013,21097,61
2014,21097,31
2015,21097,41
2016,21097,37
2017,21097,42
2010,21099,1
2011,21099,14
2012,21099,14
2013,21099,4
2014,21099,10
2015,21099,2
2016,21099,8
2017,21099,2
2010,21101,8
2011,21101,8
2012,21101,2
2013,21101,10
2014,21101,9
2015,21101,11
2016,21101,21
2017,21101,12
2010,21103,5
2011,21103,4
2012,21103,11
2013,21103,10
2014,21103,9
2015,21103,12
2016,21103,11
2017,21103,13
2011,21105,2
2012,21105,1
2013,21105,3
2014,21105,2
2015,21105,1
2016,21105,1
2010,21107,65
2011,21107,71
2012,21107,68
2013,21107,90
2014,21107,54
2015,21107,53
2016,21107,27
2017,21107,41
2010,21109,51
2011,21109,105
2012,21109,60
2013,21109,12
2014,21109,40
2015,21109,9
2016,21109,32
2017,21109,19
2010,21111,1090
2011,21111,1494
2012,21111,1053
2013,21111,718
2014,21111,529
2015,21111,339
2016,21111,519
2017,21111,1086
2010,21113,203
2011,21113,226
2012,21113,143
2013,21113,81
2014,21113,156
2015,21113,57
2016,21113,80
2017,21113,71
2010,21115,141
2011,21115,105
2012,21115,67
2013,21115,87
2014,21115,73
2015,21115,90
2016,21115,19
2017,21115,34
2010,21117,267
2011,21117,190
2012,21117,137
2013,21117,122
2014,21117,159
2015,21117,199
2016,21117,241
2017,21117,419
2010,21119,164
2011,21119,51
2012,21119,80
2013,21119,63
2014,21119,25
2015,21119,16
2016,21119,100
2017,21119,43
2010,21121,214
2011,21121,117
2012,21121,157
2013,21121,139
2014,21121,134
2015,21121,207
2016,21121,96
2017,21121,86
2010,21123,9
2011,21123,4
2012,21123,1
2014,21123,2
2015,21123,2
2016,21123,5
2017,21123,3
2010,21125,218
2011,21125,320
2012,21125,172
2013,21125,217
2014,21125,246
2015,21125,96
2016,21125,89
2017,21125,169
2010,21127,64
2011,21127,22
2012,21127,22
2013,21127,29
2014,21127,9
2015,21127,19
2016,21127,26
2017,21127,12
2010,21129,31
2011,21129,97
2012,21129,62
2013,21129,45
2014,21129,22
2015,21129,19
2016,21129,11
2017,21129,15
2010,21131,56
2011,21131,35
2012,21131,49
2013,21131,39
2014,21131,26
2015,21131,10
2016,21131,16
2017,21131,8
2010,21133,159
2011,21133,146
2012,21133,52
2013,21133,41
2014,21133,43
2015,21133,41
2016,21133,39
2017,21133,17
2010,21135,39
2011,21135,43
2012,21135,27
2013,21135,35
2014,21135,29
2015,21135,44
2016,21135,5
2017,21135,48
2010,21137,13
2011,21137,40
2012,21137,15
2013,21137,24
2014,21137,20
2015,21137,8
2016,21137,5
2017,21137,4
2010,21139,4
2011,21139,3
2012,21139,6
2013,21139,11
2014,21139,6
2015,21139,3
2016,21139,7
2017,21139,1
2010,21141,9
2011,21141,18
2012,21141,21
2013,21141,15
2014,21141,28
2015,21141,23
2016,21141,32
2017,21141,28
2010,21143,13
2011,21143,5
2012,21143,11
2013,21143,19
2014,21143,24
2015,21143,31
2016,21143,32
2017,21143,24
2010,21145,47
2011,21145,50
2012,21145,59
2013,21145,55
2014,21145,70
2015,21145,47
2016,21145,30
2017,21145,39
2010,21147,58
2011,21147,36
2012,21147,36
2013,21147,70
2014,21147,80
2015,21147,27
2016,21147,20
2017,21147,37
2010,21149,7
2011,21149,3
2013,21149,1
2014,21149,2
2015,21149,3
2016,21149,2
2017,21149,1
2010,21151,274
2011,21151,153
2012,21151,311
2013,21151,297
2014,21151,250
2015,21151,202
2016,21151,177
2017,21151,238
2010,21153,41
2011,21153,59
2012,21153,29
2013,21153,80
2014,21153,13
2015,21153,25
2016,21153,6
2017,21153,24
2010,21155,26
2011,21155,22
2012,21155,26
2013,21155,14
2014,21155,17
2015,21155,27
2016,21155,30
2017,21155,38
2010,21157,11
2011,21157,16
2012,21157,16
2013,21157,10
2014,21157,7
2015,21157,3
2016,21157,6
2017,21157,28
2010,21159,60
2011,21159,37
2012,21159,17
2013,21159,31
2014,21159,11
2015,21159,97
2016,21159,28
2017,21159,56
2010,21161,140
2011,21161,82
2012,21161,51
2013,21161,27
2014,21161,58
2015,21161,32
2016,21161,30
2017,21161,33
2010,21163,5
2011,21163,29
2012,21163,52
2013,21163,17
2014,21163,20
2015,21163,6
2016,21163,12
2017,21163,6
2010,21165,15
2011,21165,16
2012,21165,8
2013,21165,8
2014,21165,1
2015,21165,3
2017,21165,2
2010,21167,22
2011,21167,81
2012,21167,25
2013,21167,11
2014,21167,22
2015,21167,6
2016,21167,21
2017,21167,21
2010,21169,7
2011,21169,5
2012,21169,2
2013,21169,2
2014,21169,4
2015,21169,2
2016,21169,1
2010,21171,24
2011,21171,6
2012,21171,1
2013,21171,5
2015,21171,3
2016,21171,2
2017,21171,7
2010,21173,165
2011,21173,178
2012,21173,197
2013,21173,195
2014,21173,191
2015,21173,122
2016,21173,64
2017,21173,96
2010,21175,32
2011,21175,65
2012,21175,11
2013,21175,5
2014,21175,6
2015,21175,8
2016,21175,12
2017,21175,9
2010,21177,37
2011,21177,40
2012,21177,36
2013,21177,71
2014,21177,61
2015,21177,55
2016,21177,47
2017,21177,29
2010,21179,21
2011,21179,33
2012,21179,47
2013,21179,27
2014,21179,43
2015,21179,14
2016,21179,24
2017,21179,56
2010,21181,41
2011,21181,18
2012,21181,18
2013,21181,66
2014,21181,17
2015,21181,37
2016,21181,35
2017,21181,12
2010,21183,39
2011,21183,5
2012,21183,39
2013,21183,20
2014,21183,9
2015,21183,19
2016,21183,40
2017,21183,13
2010,21185,48
2011,21185,37
2012,21185,17
2013,21185,27
2014,21185,23
2015,21185,33
2016,21185,25
2017,21185,36
2010,21187,13
2011,21187,7
2012,21187,14
2013,21187,18
2014,21187,11
2015,21187,4
2016,21187,8
2017,21187,5
2010,21189,10
2011,21189,65
2012,21189,11
2013,21189,4
2014,21189,3
2015,21189,12
2016,21189,1
2017,21189,3
2010,21191,34
2011,21191,19
2012,21191,13
2013,21191,20
2014,21191,3
2015,21191,5
2016,21191,3
2017,21191,8
2010,21193,327
2011,21193,430
2012,21193,345
2013,21193,168
2014,21193,152
2015,21193,202
2016,21193,300
2017,21193,127
2010,21195,191
2011,21195,247
2012,21195,196
2013,21195,174
2014,21195,176
2015,21195,141
2016,21195,119
2017,21195,78
2010,21197,104
2011,21197,90
2012,21197,69
2013,21197,115
2014,21197,124
2015,21197,36
2016,21197,47
2017,21197,26
2010,21199,319
2011,21199,131
2012,21199,139
2013,21199,103
2014,21199,97
2015,21199,225
2016,21199,148
2017,21199,90
2010,21201,6
2011,21201,11
2012,21201,8
2013,21201,1
2015,21201,6
2016,21201,1
2010,21203,101
2011,21203,120
2012,21203,65
2013,21203,50
2014,21203,110
2015,21203,136
2016,21203,54
2017,21203,47
2010,21205,186
2011,21205,142
2012,21205,116
2013,21205,65
2014,21205,135
2015,21205,125
2016,21205,29
2017,21205,28
2010,21207,33
2011,21207,11
2012,21207,27
2013,21207,19
2014,21207,5
2015,21207,8
2016,21207,15
2017,21207,14
2010,21209,74
2011,21209,33
2012,21209,108
2013,21209,170
2014,21209,75
2015,21209,7
2016,21209,46
2017,21209,35
2010,21211,13
2011,21211,15
2012,21211,7
2013,21211,8
2014,21211,11
2015,21211,17
2016,21211,28
2017,21211,35
2010,21213,12
2011,21213,25
2012,21213,31
2013,21213,29
2014,21213,16
2015,21213,15
2016,21213,15
2017,21213,7
2010,21215,3
2011,21215,5
2012,21215,8
2013,21215,4
2015,21215,2
2016,21215,3
2017,21215,1
2010,21217,52
2011,21217,50
2012,21217,27
2013,21217,18
2014,21217,19
2015,21217,29
2016,21217,19
2017,21217,27
2010,21219,2
2011,21219,7
2012,21219,1
2013,21219,4
2014,21219,2
2015,21219,3
2016,21219,2
2010,21221,6
2012,21221,4
2013,21221,4
2014,21221,7
2015,21221,7
2016,21221,6
2017,21221,3
2010,21223,7
2011,21223,3
2012,21223,9
2013,21223,21
2014,21223,17
2015,21223,10
2016,21223,3
2017,21223,3
2011,21225,4
2012,21225,3
2013,21225,3
2014,21225,1
2015,21225,4
2016,21225,3
2010,21227,52
2011,21227,62
2012,21227,53
2013,21227,64
2014,21227,25
2015,21227,35
2016,21227,42
2017,21227,25
2010,21229,16
2011,21229,11
2012,21229,1
2013,21229,1
2014,21229,1
2015,21229,2
2016,21229,2
2017,21229,1
2010,21231,72
2011,21231,54
2012,21231,38
2013,21231,11
2014,21231,41
2015,21231,34
2016,21231,61
2017,21231,85
2010,21233,11
2011,21233,10
2012,21233,6
2013,21233,13
2014,21233,11
2015,21233,1
2016,21233,5
2017,21233,1
2010,21235,298
2011,21235,140
2012,21235,320
2013,21235,276
2014,21235,144
2015,21235,62
2016,21235,46
2017,21235,40
2010,21237,18
2011,21237,33
2012,21237,24
2013,21237,7
2014,21237,3
2015,21237,19
2016,21237,1
2017,21237,12
2010,21239,52
2011,21239,15
2012,21239,70
2013,21239,16
2014,21239,19
2015,21239,8
2016,21239,21
2017,21239,33
2010,39001,203
2011,39001,78
2012,39001,58
2013,39001,51
2014,39001,69
2015,39001,65
2016,39001,73
2017,39001,66
2010,39003,92
2011,39003,108
2012,39003,119
2013,39003,115
2014,39003,113
2015,39003,86
2016,39003,120
2017,39003,108
2010,39005,82
2011,39005,83
2012,39005,74
2013,39005,71
2014,39005,78
2015,39005,93
2016,39005,147
2017,39005,185
2010,39007,72
2011,39007,80
2012,39007,73
2013,39007,71
2014,39007,121
2015,39007,102
2016,39007,243
2017,39007,317
2010,39009,191
2011,39009,208
2012,39009,133
2013,39009,119
2014,39009,139
2015,39009,108
2016,39009,142
2017,39009,113
2010,39011,13
2011,39011,17
2012,39011,16
2013,39011,18
2014,39011,13
2015,39011,24
2016,39011,41
2017,39011,49
2010,39013,34
2011,39013,101
2012,39013,68
2013,39013,69
2014,39013,136
2015,39013,84
2016,39013,93
2017,39013,132
2010,39015,66
2011,39015,54
2012,39015,88
2013,39015,54
2014,39015,38
2015,39015,118
2016,39015,84
2017,39015,70
2010,39017,253
2011,39017,267
2012,39017,260
2013,39017,272
2014,39017,287
2015,39017,356
2016,39017,508
2017,39017,876
2010,39019,12
2011,39019,10
2012,39019,13
2013,39019,11
2014,39019,10
2015,39019,6
2016,39019,6
2017,39019,17
2010,39021,38
2011,39021,8
2012,39021,10
2013,39021,18
2014,39021,30
2015,39021,98
2016,39021,49
2017,39021,100
2010,39023,7
2011,39023,5
2012,39023,10
2013,39023,19
2014,39023,18
2015,39023,119
2016,39023,210
2017,39023,475
2010,39025,176
2011,39025,195
2012,39025,133
2013,39025,128
2014,39025,110
2015,39025,193
2016,39025,254
2017,39025,374
2010,39027,65
2011,39027,50
2012,39027,48
2013,39027,28
2014,39027,63
2015,39027,105
2016,39027,120
2017,39027,181
2010,39029,25
2011,39029,44
2012,39029,45
2013,39029,61
2014,39029,121
2015,39029,93
2016,39029,250
2017,39029,250
2010,39031,5
2011,39031,5
2012,39031,12
2013,39031,12
2014,39031,11
2015,39031,17
2016,39031,25
2017,39031,11
2010,39033,30
2011,39033,31
2012,39033,47
2013,39033,40
2014,39033,119
2015,39033,96
2016,39033,168
2017,39033,107
2010,39035,398
2011,39035,352
2012,39035,702
2013,39035,682
2014,39035,773
2015,39035,1066
2016,39035,2611
2017,39035,4801
2010,39037,8
2011,39037,37
2012,39037,7
2013,39037,10
2014,39037,26
2015,39037,25
2016,39037,48
2017,39037,90
2010,39039,49
2011,39039,47
2012,39039,43
2013,39039,54
2014,39039,48
2015,39039,95
2016,39039,89
2017,39039,96
2010,39041,135
2011,39041,124
2012,39041,93
2013,39041,59
2014,39041,114
2015,39041,108
2016,39041,120
2017,39041,142
2010,39043,80
2011,39043,124
2012,39043,124
2013,39043,122
2014,39043,110
2015,39043,162
2016,39043,306
2017,39043,264
2010,39045,124
2011,39045,222
2012,39045,252
2013,39045,177
2014,39045,157
2015,39045,241
2016,39045,198
2017,39045,175
2010,39047,24
2011,39047,32
2012,39047,23
2013,39047,9
2014,39047,49
2015,39047,52
2016,39047,80
2017,39047,131
2010,39049,464
2011,39049,725
2012,39049,730
2013,39049,988
2014,39049,1191
2015,39049,1046
2016,39049,1196
2017,39049,1676
2010,39051,8
2011,39051,7
2012,39051,21
2013,39051,19
2014,39051,7
2015,39051,25
2016,39051,15
2017,39051,19
2010,39053,229
2011,39053,168
2012,39053,56
2013,39053,56
2014,39053,59
2015,39053,109
2016,39053,98
2017,39053,162
2010,39055,20
2011,39055,13
2012,39055,10
2013,39055,11
2014,39055,42
2015,39055,39
2016,39055,58
2017,39055,58
2010,39057,69
2011,39057,80
2012,39057,45
2013,39057,96
2014,39057,120
2015,39057,144
2016,39057,267
2017,39057,370
2010,39059,73
2011,39059,77
2012,39059,83
2013,39059,102
2014,39059,179
2015,39059,140
2016,39059,147
2017,39059,170
2010,39061,1611
2011,39061,647
2012,39061,538
2013,39061,520
2014,39061,655
2015,39061,2012
2016,39061,3233
2017,39061,5963
2010,39063,85
2011,39063,104
2012,39063,83
2013,39063,78
2014,39063,115
2015,39063,165
2016,39063,221
2017,39063,232
2010,39065,72
2011,39065,55
2012,39065,70
2013,39065,103
2014,39065,30
2015,39065,44
2016,39065,30
2017,39065,31
2011,39067,10
2012,39067,8
2013,39067,14
2014,39067,4
2015,39067,9
2016,39067,17
2017,39067,6
2010,39069,2
2011,39069,13
2012,39069,6
2013,39069,4
2015,39069,9
2016,39069,5
2017,39069,2
2010,39071,92
2011,39071,40
2012,39071,45
2013,39071,43
2014,39071,83
2015,39071,51
2016,39071,83
2017,39071,82
2010,39073,27
2011,39073,22
2012,39073,12
2013,39073,32
2014,39073,35
2015,39073,23
2016,39073,56
2017,39073,59
2010,39075,11
2011,39075,18
2012,39075,32
2013,39075,27
2014,39075,5
2015,39075,9
2016,39075,4
2017,39075,9
2010,39077,48
2011,39077,51
2012,39077,63
2013,39077,77
2014,39077,105
2015,39077,146
2016,39077,165
2017,39077,136
2010,39079,191
2011,39079,132
2012,39079,99
2013,39079,140
2014,39079,166
2015,39079,246
2016,39079,225
2017,39079,148
2010,39081,27
2011,39081,68
2012,39081,23
2013,39081,23
2014,39081,33
2015,39081,32
2016,39081,39
2017,39081,23
2010,39083,7
2011,39083,18
2012,39083,22
2013,39083,36
2014,39083,13
2015,39083,2
2016,39083,12
2017,39083,28
2010,39085,219
2011,39085,184
2012,39085,197
2013,39085,213
2014,39085,200
2015,39085,468
2016,39085,1247
2017,39085,1548
2010,39087,106
2011,39087,113
2012,39087,134
2013,39087,104
2014,39087,131
2015,39087,127
2016,39087,122
2017,39087,178
2010,39089,191
2011,39089,182
2012,39089,212
2013,39089,80
2014,39089,128
2015,39089,176
2016,39089,126
2017,39089,211
2010,39091,30
2011,39091,66
2012,39091,7
2013,39091,8
2014,39091,16
2015,39091,44
2016,39091,67
2017,39091,114
2010,39093,22
2011,39093,21
2012,39093,21
2013,39093,23
2014,39093,32
2015,39093,237
2016,39093,626
2017,39093,713
2010,39095,395
2011,39095,261
2012,39095,310
2013,39095,253
2014,39095,191
2015,39095,293
2016,39095,423
2017,39095,420
2010,39097,62
2011,39097,80
2012,39097,82
2013,39097,52
2014,39097,99
2015,39097,50
2016,39097,79
2017,39097,54
2010,39099,253
2011,39099,265
2012,39099,211
2013,39099,216
2014,39099,266
2015,39099,291
2016,39099,464
2017,39099,486
2010,39101,72
2011,39101,56
2012,39101,33
2013,39101,97
2014,39101,69
2015,39101,103
2016,39101,205
2017,39101,166
2010,39103,138
2011,39103,125
2012,39103,80
2013,39103,118
2014,39103,96
2015,39103,150
2016,39103,196
2017,39103,246
2010,39105,37
2011,39105,61
2012,39105,37
2013,39105,25
2014,39105,9
2015,39105,8
2016,39105,17
2017,39105,6
2010,39107,28
2011,39107,26
2012,39107,7
2013,39107,13
2014,39107,24
2015,39107,29
2016,39107,22
2017,39107,37
2010,39109,38
2011,39109,27
2012,39109,36
2013,39109,38
2014,39109,67
2015,39109,70
2016,39109,146
2017,39109,284
2010,39111,1
2011,39111,6
2012,39111,3
2013,39111,13
2014,39111,32
2015,39111,16
2016,39111,23
2017,39111,41
2010,39113,396
2011,39113,445
2012,39113,339
2013,39113,512
2014,39113,708
2015,39113,682
2016,39113,1570
2017,39113,2887
2010,39115,29
2011,39115,20
2012,39115,4
2013,39115,2
2014,39115,2
2015,39115,12
2016,39115,1
2017,39115,11
2010,39117,33
2011,39117,52
2012,39117,53
2013,39117,20
2014,39117,36
2015,39117,30
2016,39117,29
2017,39117,36
2010,39119,34
2011,39119,19
2012,39119,23
2013,39119,42
2014,39119,65
2015,39119,74
2016,39119,68
2017,39119,97
2010,39121,2
2011,39121,21
2012,39121,2
2013,39121,3
2014,39121,4
2015,39121,5
2016,39121,9
2017,39121,11
2010,39123,20
2011,39123,23
2012,39123,41
2013,39123,57
2014,39123,22
2015,39123,19
2016,39123,40
2017,39123,43
2010,39125,2
2011,39125,4
2012,39125,1
2013,39125,3
2014,39125,10
2015,39125,8
2016,39125,5
2017,39125,10
2010,39127,34
2011,39127,71
2012,39127,24
2013,39127,21
2014,39127,38
2015,39127,73
2016,39127,68
2017,39127,32
2010,39129,120
2011,39129,161
2012,39129,134
2013,39129,81
2014,39129,92
2015,39129,69
2016,39129,38
2017,39129,48
2010,39131,76
2011,39131,52
2012,39131,4
2013,39131,26
2014,39131,19
2015,39131,28
2016,39131,25
2017,39131,41
2010,39133,119
2011,39133,128
2012,39133,116
2013,39133,92
2014,39133,122
2015,39133,181
2016,39133,270
2017,39133,238
2010,39135,18
2011,39135,6
2012,39135,29
2013,39135,14
2014,39135,9
2015,39135,14
2016,39135,48
2017,39135,79
2010,39137,1
2011,39137,2
2012,39137,3
2013,39137,1
2015,39137,5
2016,39137,4
2017,39137,3
2010,39139,74
2011,39139,71
2012,39139,73
2013,39139,73
2014,39139,82
2015,39139,110
2016,39139,175
2017,39139,169
2010,39141,403
2011,39141,216
2012,39141,120
2013,39141,120
2014,39141,144
2015,39141,142
2016,39141,150
2017,39141,190
2010,39143,12
2011,39143,13
2012,39143,80
2013,39143,28
2014,39143,57
2015,39143,113
2016,39143,168
2017,39143,110
2010,39145,438
2011,39145,378
2012,39145,250
2013,39145,124
2014,39145,148
2015,39145,122
2016,39145,229
2017,39145,209
2010,39147,59
2011,39147,59
2012,39147,43
2013,39147,30
2014,39147,51
2015,39147,83
2016,39147,94
2017,39147,86
2010,39149,29
2011,39149,28
2012,39149,29
2013,39149,13
2014,39149,17
2015,39149,24
2016,39149,136
2017,39149,154
2010,39151,180
2011,39151,185
2012,39151,49
2013,39151,17
2014,39151,252
2015,39151,317
2016,39151,609
2017,39151,869
2010,39153,204
2011,39153,161
2012,39153,117
2013,39153,144
2014,39153,183
2015,39153,394
2016,39153,499
2017,39153,886
2010,39155,161
2011,39155,145
2012,39155,148
2013,39155,172
2014,39155,208
2015,39155,296
2016,39155,374
2017,39155,602
2010,39157,46
2011,39157,52
2012,39157,14
2013,39157,27
2014,39157,38
2015,39157,41
2016,39157,65
2017,39157,81
2010,39159,35
2011,39159,34
2012,39159,42
2013,39159,13
2014,39159,24
2015,39159,28
2016,39159,39
2017,39159,41
2010,39161,18
2011,39161,21
2012,39161,29
2013,39161,8
2014,39161,24
2015,39161,11
2016,39161,25
2017,39161,50
2010,39163,34
2011,39163,28
2012,39163,40
2013,39163,36
2014,39163,22
2015,39163,50
2016,39163,46
2017,39163,6
2010,39165,135
2011,39165,124
2012,39165,109
2013,39165,138
2014,39165,127
2015,39165,154
2016,39165,233
2017,39165,331
2010,39167,81
2011,39167,69
2012,39167,53
2013,39167,52
2014,39167,54
2015,39167,57
2016,39167,83
2017,39167,103
2010,39169,109
2011,39169,88
2012,39169,94
2013,39169,102
2014,39169,84
2015,39169,85
2016,39169,166
2017,39169,187
2011,39171,7
2012,39171,2
2013,39171,5
2014,39171,1
2015,39171,2
2016,39171,5
2017,39171,1
2010,39173,77
2011,39173,91
2012,39173,76
2013,39173,94
2014,39173,89
2015,39173,91
2016,39173,120
2017,39173,102
2010,39175,9
2011,39175,8
2012,39175,1
2013,39175,6
2014,39175,29
2015,39175,25
2016,39175,31
2017,39175,52
2010,42001,38
2011,42001,38
2012,42001,27
2013,42001,35
2014,42001,16
2015,42001,38
2016,42001,54
2017,42001,37
2010,42003,801
2011,42003,886
2012,42003,756
2013,42003,711
2014,42003,849
2015,42003,1068
2016,42003,1546
2017,42003,2739
2010,42005,27
2011,42005,34
2012,42005,19
2013,42005,15
2014,42005,26
2015,42005,27
2016,42005,55
2017,42005,49
2010,42007,35
2011,42007,30
2012,42007,38
2013,42007,19
2014,42007,53
2015,42007,50
2016,42007,129
2017,42007,167
2010,42009,12
2011,42009,11
2012,42009,24
2013,42009,27
2014,42009,16
2015,42009,13
2016,42009,14
2017,42009,13
2010,42011,46
2011,42011,73
2012,42011,83
2013,42011,73
2014,42011,123
2015,42011,82
2016,42011,190
2017,42011,265
2010,42013,113
2011,42013,73
2012,42013,77
2013,42013,32
2014,42013,83
2015,42013,99
2016,42013,92
2017,42013,188
2010,42015,36
2011,42015,38
2012,42015,66
2013,42015,63
2014,42015,33
2015,42015,17
2016,42015,37
2017,42015,28
2010,42017,763
2011,42017,785
2012,42017,516
2013,42017,28
2014,42017,531
2015,42017,180
2016,42017,32
2017,42017,58
2010,42019,30
2011,42019,41
2012,42019,13
2013,42019,14
2014,42019,30
2015,42019,27
2016,42019,52
2017,42019,105
2010,42021,87
2011,42021,123
2012,42021,77
2013,42021,92
2014,42021,86
2015,42021,88
2016,42021,121
2017,42021,80
2010,42023,4
2012,42023,6
2013,42023,13
2015,42023,1
2010,42025,15
2011,42025,35
2012,42025,20
2013,42025,26
2014,42025,21
2015,42025,21
2016,42025,27
2017,42025,26
2010,42027,41
2011,42027,47
2012,42027,13
2013,42027,26
2014,42027,18
2015,42027,51
2016,42027,58
2017,42027,101
2010,42029,126
2011,42029,162
2012,42029,181
